name,price,code,actual_category
Transponder AIS Maré Magnum,33122.52,1,ELETRONICOS
Transponder Furuno Marlin,13998.15,2,ELETRONICOS
Radar Furuno Pulse Leviathan,9024.19,3,OUTROS
Rádio AIS Hydro Tidal Zen,3381.88,4,ELETRONICOS
Piloto Automático Furuno Storm,23669.01,5,ELETRONICOS
Transponder AIS Vector,11820.21,6,ELETRONICOS
Radar AIS Zen,19518.77,7,ELETRONICOS
GPS AIS Zen,4984.15,8,OUTROS
Transponder AIS Titan Pulse,39705.5,9,ELETRONICOS
Piloto Automático Simrad Titan Flux Magnum,32033.04,10,ELETRONICOS
GPS Furuno Swift Leviathan Poseidon,36231.91,11,ELETRONICOS
GPS AIS Drift Flux Vox,2726.18,12,ELETRONICOS
Radar Simrad Boost,7747.1,13,OUTROS
Rádio Furuno Zen Swift,35811.08,14,ELETRONICOS
Radar Garmin Tidal Thrust,27899.76,15,ELETRONICOS
Sonda Garmin Axis,30005.99,16,ELETRONICOS
Rádio AIS Oceanic Pulse,14038.78,17,ELETRONICOS
Rádio Simrad Axis,26572.45,18,ELETRONICOS
Sonda Lowrance Tidal Storm Vox,16432.35,19,ELETRONICOS
Radar AIS Marlin,30833.44,20,ELETRONICOS
GPS AIS Nautic Thrust,8734.56,21,ELETRONICOS
Transponder Furuno Force Ion,39452.86,22,ELETRONICOS
Piloto Automático Furuno Torque Peak,11178.63,23,ELETRONICOS
GPS AIS Orca Marlin Velocity,23232.18,24,ELETRONICOS
Rádio Lowrance Nitro Thrust Barracuda,12126.46,25,ELETRONICOS
Piloto Automático Furuno Core Boost Flux,17283.18,26,ELETRONICOS
GPS Garmin Vortex Maré Drift,16511.45,27,ELETRONICOS
Piloto Automático AIS Core,14258.56,28,ELETRONICOS
Rádio Simrad Orca,36510.34,29,ELETRONICOS
Transponder AIS Boost,32247.87,30,ELETRONICOS
Transponder Furuno Pulse Axis,8283.11,31,ELETRONICOS
Sonda AIS Impulse Oceanic Zenith,12502.46,32,ELETRONICOS
Transponder Garmin Drift Vortex Marlin,6715.77,33,ELETRONICOS
Transponder AIS Helix Torque,4917.53,34,OUTROS
Radar Furuno Swift,11005.53,35,ELETRONICOS
Radar Lowrance Aqua Pulse,22601.39,36,ELETRONICOS
GPS Lowrance Evo Storm Drift,6067.71,37,OUTROS
GPS Lowrance Evo Storm Drift,6067.71,37,ELETRONICOS
Rádio AIS Force,26461.14,38,ELETRONICOS
GPS Furuno Vector,29632.83,39,ELETRONICOS
Sonda Furuno Maré Tidal,14184.04,40,ELETRONICOS
GPS Simrad Flow Pulse,10600.0,41,ELETRONICOS
Transponder Lowrance Axis,5992.84,42,ELETRONICOS
Sonda AIS Barracuda,35096.86,43,OUTROS
GPS Simrad Zen Hydra Peak,10806.84,44,ELETRONICOS
GPS Furuno Current,9903.71,45,ELETRONICOS
Sonda AIS Magnum Boost,4983.77,46,ELETRONICOS
Rádio Simrad Tidal Aqua,6122.96,47,ELETRONICOS
GPS Furuno Magnum Drift,14736.35,48,ELETRONICOS
Sonda Furuno Swift,13264.25,49,ELETRONICOS
Piloto Automático Simrad Poseidon Magnum,11275.99,50,ELETRONICOS
Motor Diesel Tohatsu Evo Zenith 16HP,64158.99,51,PROPULSAO
Motor Diesel Honda Zen Tidal Mako 26HP,13704.1,52,PROPULSAO
Motor Elétrico Torqeedo Zen Titan Hydra 129HP,53675.01,53,PROPULSAO
Motor de Popa Yamaha Evo Dash 155HP,121534.82,54,PROPULSAO
Motor Diesel Volvo Flow Oceanic 259HP,109987.2,55,PROPULSAO
Motor Elétrico Torqeedo Velocity Swift 74HP,42988.77,56,PROPULSAO
Motor de Popa Honda Vector Kinetic 174HP,118790.57,57,PROPULSAO
Motor de Popa Tohatsu Ion Core Nautic 53HP,108824.59,58,PROPULSAO
Motor Diesel Yanmar Hydro Magnum Boost 267HP,87166.14,59,PROPULSAO
Motor de Popa Honda Velocity Drift 258HP,108751.09,60,PROPULSAO
Motor Diesel Honda Prime 84HP,28018.63,61,PROPULSAO
Motor Diesel Yanmar Velocity 37HP,102221.97,62,OUTROS
Motor Diesel Yanmar Velocity 37HP,102221.97,62,PROPULSAO
Motor Diesel Yanmar Velocity 37HP,102221.97,62,PROPULSAO
Motor Diesel Yanmar Velocity 37HP,102221.97,62,PROPULSAO
Motor Elétrico Torqeedo Ion Orca Vox 186HP,139957.67,63,PROPULSAO
Motor Elétrico Yamaha Swift Drift Current 265HP,111505.55,64,PROPULSAO
Motor de Popa Torqeedo Nautic Swift 223HP,25557.7,65,PROPULSAO
Motor de Popa Tohatsu Poseidon Helix Prime 135HP,12571.63,66,PROPULSAO
